Fund_Name,Forecast_Return,RMSE,AIC
ELC_1,0.32076601131864546,0.04908282168484932,-180.23898089537533
ELC_2,0.27836902657170626,0.036258196814728375,-216.20381132011542
ELC_3,0.17036134747987086,0.034196445931986084,-222.889217399949
ELC_4,0.19931575611196828,0.033234005512278134,-226.25814405576799
ELC_5,0.19192385948838053,0.037430755802987,-212.19386212357034
ELC_6,0.17710434752226512,0.03554045147873092,-218.25044658861188
ELC_7,0.20324496954378124,0.03820689221187021,-209.80689230786757
ELC_8,0.18247665461469276,0.04015477108411752,-203.9358328152779
ELC_9,0.17624144388642926,0.047460268722821455,-184.2003504603471
ELC_10,0.17634744605031427,0.04704388122503708,-185.24363582152
ELC_11,0.17687904104023988,0.047620428532437795,-183.80320558682536
ELC_12,0.17657386074471448,0.04753581078932007,-184.01308117940658
EMC_1,0.2779480946240156,0.04300161017135317,-195.84085681347486
EMC_2,0.27771933582398023,0.04225430525775522,-198.102367360535
EMC_3,0.27537009696931114,0.03909453972068748,-207.21583863627123
EMC_4,0.2903181043784888,0.045040978862845304,-190.41304389131466
EMC_5,0.23110532049241428,0.041942546386253964,-198.86275504061354
EMC_6,0.2796870237870597,0.045717243303382865,-188.6391437907526
EMC_7,0.26869651587716326,0.04152161279950252,-200.0441294150029
EMC_8,0.24526887421443178,0.04082061452364763,-202.1041479703646
EMC_9,0.25032620083995605,0.04390389635103051,-193.44884594220773
EMC_10,0.2322230342939291,0.03984376608201876,-204.86747439313362
ESC_1,0.27874996456294165,0.04873373206160357,-181.02411388638723
ESC_2,0.29103639708263573,0.047494593375180784,-184.15071970548124
ESC_3,0.2958565269001019,0.04604484897668618,-187.9932506604973
ESC_4,0.24481074944922065,0.04445290497883255,-191.92788020486734
ESC_5,0.28106911726161155,0.04627216084165215,-187.3309239689864
ESC_6,0.2582873811400992,0.051083032453654614,-175.5273771945526
ESC_7,0.27474470049827726,0.045712008746438146,-188.74877700785004
ESC_8,0.25900016289481975,0.04555587814686213,-189.07306416201337
ESC_9,0.2621132388584202,0.04929539653191904,-179.70951090918186
ESC_10,0.2513950999875787,0.05429159928354154,-168.35325937895738
ESC_11,0.24767911128985665,0.054089897435264614,-168.79926717680542
ESC_12,0.23729926983707839,0.03858230744808101,-208.63436553205344
ESC_13,0.262200392775499,0.04669376326529017,-186.13366658999345
DL_1,0.0568921674636238,0.0005668773013902862,-712.2563680037606
DL_2,0.05681711876460893,0.0005509553672524804,-716.782079092074
DL_3,0.05685798845595702,0.0005544792647287716,-716.80519413199
DL_4,0.057060320333235603,0.0005351321269485547,-721.2420104229362
DL_5,0.05707903308496931,0.0005736391896228163,-712.473527180175
DL_6,0.05654736167914631,0.0005441531630704977,-718.5113608742895
DL_7,0.056720768166362845,0.000552619183414028,-716.422942452077
DL_8,0.05669845024826281,0.0005534487603164744,-717.0562747949377
DL_9,0.056526647784538975,0.0005500030372138969,-717.5738764267144
DL_10,0.057001466863850325,0.000529887579518235,-722.5946703150519
DL_11,0.05671315091029494,0.0005338095901887228,-720.0239242404465
DL_12,0.05691761046749022,0.0005640366749002132,-714.2770294682449
DL_13,0.05651697675013523,0.0005475326360036799,-718.3399589635648
DL_14,0.056575223365239236,0.0005440847217667662,-718.4366265574315
DL_15,0.05657568204165875,0.0005400377873701392,-719.2787472906356
DL_16,0.05645041944050311,0.0005583608467770557,-714.4716499143722
DL_17,0.05682268778279109,0.0005696466757459627,-712.4779937277671
DL_18,0.05651483144371339,0.0005503167046590909,-718.542534803209
DCB_1,0.06655229041448774,0.0037645788140805627,-483.4989866712168
DCB_2,0.06751114310247996,0.0033588839903780344,-497.04787884497904
DCB_3,0.060019345460850415,0.004473983970309984,-462.8946660702116
DCB_4,0.06899583587964342,0.003450518794159661,-493.71934551611406
DCB_5,0.06466404179377672,0.0032892298666013656,-499.66602836257414
DCB_6,0.06365583595474988,0.0042419405117911715,-469.3134281870248
DCB_7,0.06450568327756256,0.0032721719239033145,-500.04338654685876
DCB_8,0.062124675019127995,0.0036849677886749864,-486.1807070471948
DCB_9,0.06167290513288992,0.0038411723524947846,-481.27000431597764
DCB_10,0.06236364151116458,0.003550528616101099,-490.5335368536294
DCB_11,0.0615086723049032,0.006657065929317358,-416.0235012306105
DCB_12,0.06036170012839759,0.0038979077213195236,-479.6758916426108
DCB_13,0.060231600832126864,0.0034239011383759223,-494.9964802521863
DCB_14,0.05806055415549771,0.0035768441311682334,-489.4345420042618
HA_1,0.3308897369140169,0.04103601559761943,-201.37463384879928
HA_2,0.20510847803181753,0.031885050357853925,-231.117966084224
HA_3,0.2370369990626242,0.02968242454233548,-239.59487124590063
HA_4,0.1811371362027525,0.03202923334679258,-231.11251969063807
HA_5,0.21233344985375946,0.0399896919846672,-204.39073287383883
HA_6,0.19678010238634558,0.029867843965736513,-238.87921498277635
HA_7,0.19004900471184527,0.02685672388818555,-251.4614355154436
HA_8,0.16340294212473339,0.028040552546020996,-246.15737377489694
HA_9,0.15605971408276664,0.0281664763680449,-245.76936607010433
HA_10,0.18535833101504173,0.027193846041251545,-249.9813547512327
HA_11,0.17521912036233722,0.030210955027804923,-237.47469482733916
HA_12,0.1509374656675444,0.032775898185467146,-227.89282785866874
HA_13,0.17601449705869188,0.028111141667889025,-246.02209804432442
HA_14,0.14380450872057304,0.029205262071323915,-241.5350283754823
HA_15,0.17570281918754493,0.027027113819743015,-250.74790432547337
HA_16,0.13823306697140003,0.023948804010386838,-264.83850885821647
HA_17,0.1685675442261485,0.02651971689986214,-252.91880041316466
HDA_1,0.2159262249346947,0.029658863796461266,-239.69026214535307
HDA_2,0.16250103131711424,0.027011286010665568,-250.75693105488006
HDA_3,0.13405490241946216,0.03349548812036682,-225.44085692827448
HDA_4,0.13370217539916296,0.021119547472589092,-279.8420195785015
HDA_5,0.14818080614353013,0.014155723931248176,-326.96518801952345
HDA_6,0.14638028844075768,0.025768449359213182,-256.233710336746
HDA_7,0.13719736735722643,0.015012470124743412,-320.116823849798
HDA_8,0.13005898465188848,0.019672698660031292,-288.1130012423787
HDA_9,0.1295085791777204,0.02135102895490191,-278.3961552356672
HDA_10,0.10995593761721612,0.01655707302846894,-308.4674833826495
HDA_11,0.17667624636991786,0.01997193066053716,-286.30078529335594
HDA_12,0.13714095873332144,0.021985304323518255,-275.0062933830896
HDA_13,0.1349034852926041,0.019088355456258848,-291.68494026738676
HDA_14,0.12962373366116275,0.020538504965566976,-283.017743440948
HDA_15,0.12172532728547236,0.018513867986208243,-295.27730686457176
ELSS_1,0.23785152764513517,0.03673693969157564,-214.42075523742216
ELSS_2,0.24658660457638004,0.04817294921234216,-182.36788665655132
ELSS_3,0.2324248536818303,0.03239982935650614,-229.2651669625037
ELSS_4,0.1894138021765952,0.040831724706678334,-201.95225098193023
ELSS_5,0.2129980591420868,0.04107816621461658,-201.25970291332706
ELSS_6,0.22029338937555631,0.03747954256833767,-212.08835761713914
ELSS_7,0.18407978810810888,0.03612187568007089,-216.3569280723833
ELSS_8,0.19401757394174157,0.03939087724344451,-206.2125534861201
ELSS_9,0.2178234950004101,0.03667782206322051,-214.66036855816725
ELSS_10,0.1895668702144222,0.03674164411014305,-214.46394193548787
ELSS_11,0.2051828941476599,0.028139190984323274,-245.89466588461838
ELSS_12,0.19662024592896432,0.035966779818204314,-216.98518451506618
ELSS_13,0.17371553863196532,0.038542095569362646,-208.71487318387108
ELSS_14,0.1810208293492126,0.03229965628960757,-229.6180280698994
ELSS_15,0.21173107397642776,0.039656026318817775,-205.4472492768834
ELSS_16,0.18713277297126063,0.03593592651094263,-217.03423587706584
ELSS_17,0.16586746111202944,0.03247554956207622,-228.97017623706185
ELSS_18,0.2176601446357842,0.0374101487798831,-212.42412553668572
ELSS_19,0.19858787208060247,0.04444099703733403,-191.9678086533627
ELSS_20,0.20308650728822797,0.03682900109613478,-214.1752454756121
I_1,0.15376790981327937,0.03462161892491654,-221.47966584731336
I_2,0.15554207279655663,0.035293935918952586,-219.17714455918923
I_3,0.15586254857255755,0.03534434650492224,-219.01318910245953
I_4,0.15528270878136552,0.035320322169864284,-219.09279470849532
I_5,0.15553825800996246,0.03532825411986531,-219.06642299656642
I_6,0.1552989240938092,0.035370320943085745,-218.92630374528093
I_7,0.15528806647977356,0.03529400791815937,-219.18019151533434
I_8,0.1545736237056594,0.03529803125213571,-219.16696223904813
